FindingId,Severity,Repository,FileOrArea,SymbolOrUse,CurrentAuthority,ClassifiedMeaning,TargetAuthority,RequiredAction,RecommendedCut,QARequired,Notes
IF-ID-A01,Critical,com.immersive.framework,Runtime/Authoring/RouteAsset.cs,HasSameIdentity,RouteId equality,Ambiguous,Explicit HasSameStableId or direct RouteAsset reference,Introduce precise vocabulary and deprecate ambiguous API,IF-ID-02,"same ref/same ID; different refs/same ID","Name implies definition equality but implementation compares stable IDs"
IF-ID-A01,Critical,com.immersive.framework,Runtime/Authoring/ActivityAsset.cs,HasSameIdentity,ActivityId equality,Ambiguous,Explicit HasSameStableId or direct ActivityAsset reference,Introduce precise vocabulary and deprecate ambiguous API,IF-ID-02,"same ref/same ID; different refs/same ID","Name implies definition equality but implementation compares stable IDs"
IF-ID-A02,Critical,com.immersive.framework,Runtime/RouteLifecycle/RouteLifecycleRuntime.cs,IsRouteActive,Stable ID,Definition reference,RouteAsset reference equality,Migrate active-target comparison,IF-ID-03,"different Route refs with same ID must not be already-active",Primary Route idempotence defect
IF-ID-A03,Critical,com.immersive.framework,Runtime/RouteLifecycle/RouteLifecycleRuntime.cs,Route entered/exited publication,Stable ID,Definition reference,RouteAsset reference equality,Align event decisions with Route authority migration,IF-ID-03,"switch colliding Route refs publishes correct facts",Do not patch separately from IsRouteActive
IF-ID-A03,Critical,com.immersive.framework,Runtime/RouteLifecycle/RouteLifecycleRuntime.cs,RemovePreviousRouteScopeRoot,Stable ID plus scope behavior,Operational ownership,Explicit Route runtime scope identity,Separate definition comparison from scope cleanup,IF-ID-03/IF-ID-05,"colliding Route refs clean previous scope deterministically",Compatibility may be needed until ownership cut
IF-ID-A06,Critical,com.immersive.framework,Runtime/RouteLifecycle/RouteLifecycleRuntime.cs,CreateRouteOwner,RouteId stable text,Operational ownership,Scoped owner identity including required lifetime dimension,Redesign after reference authority is stable,IF-ID-05,"two Route refs same ID cannot share release authority",Do not simply replace key with object reference
IF-ID-A04,Critical,com.immersive.framework,Runtime/ActivityFlow/ActivityFlowRuntime.cs,IsActivityActive,Stable ID,Definition reference,ActivityAsset reference equality,Migrate active-target comparison,IF-ID-04,"different Activity refs with same ID must not be already-active",Primary Activity idempotence defect
IF-ID-A09,High,com.immersive.framework,Runtime/ActivityFlow/ActivityFlowRuntime.cs,SetRouteContext / route context rollover,Stable ID,Definition reference,RouteAsset reference plus explicit scope lifetime,Align with Route authority migration,IF-ID-03,"colliding Route refs replace ActivityFlow context correctly",Cross-module dependency on Route equality
IF-ID-A06,Critical,com.immersive.framework,Runtime/ActivityFlow/ActivityFlowRuntime.cs,CreateActivityOwner,ActivityId stable text,Operational ownership,Scoped owner identity including Activity occurrence/lifetime,Redesign owner construction,IF-ID-05,"reentry/restart and colliding IDs release correctly",Occurrence requirement remains a design decision
IF-ID-A05,Critical,com.immersive.framework,Runtime/ActivityFlow/ActivityFlowRuntime.Transaction.cs,Transaction setup,ReferenceEquals,Definition reference,ActivityAsset reference equality,Preserve,IF-ID-04,"transaction with same/different references",Positive foundation
IF-ID-A05,Critical,com.immersive.framework,Runtime/ActivityFlow/ActivityFlowRuntime.Transaction.cs,Previous Activity finalization,Stable ID,Definition reference / runtime occurrence,ActivityAsset reference plus transaction/occurrence,Migrate with all Activity comparisons,IF-ID-04,"different refs same ID still finalize previous Activity",Split authority inside one transaction
IF-ID-A05,Critical,com.immersive.framework,Runtime/ActivityFlow/ActivityFlowRuntime.Transaction.cs,Entered/exited facts,ReferenceEquals,Definition reference,ActivityAsset reference equality,Preserve and align adjacent code,IF-ID-04,"fact sequence for colliding IDs",Positive use exposes inconsistency with finalization
IF-ID-P03,Positive,com.immersive.framework,Runtime/ActivityFlow/ActivityReadinessOccurrence.cs,Matches,Activity reference plus sequence,Runtime occurrence,Activity reference plus sequence,Preserve,N/A,"stale sequence and different reference cases",Canonical target model for Activity execution identity
IF-ID-A07,Critical,com.immersive.framework,Runtime/GameFlow/ActivityEntryReadinessActiveOperation.cs,OwnsRoute,Stable ID,Definition reference / operation ownership,Exact Route reference or Route transaction identity,Migrate with Route authority,IF-ID-03,"Route replacement with colliding IDs supersedes only correct wait",Sensitive after RouteAuthorityReplaced fix
IF-ID-A07,Critical,com.immersive.framework,Runtime/GameFlow/ActivityEntryReadinessActiveOperation.cs,OwnsActivity,Stable ID,Runtime occurrence,ActivityReadinessOccurrence exact match,Migrate to occurrence semantics,IF-ID-04,"different Activity refs same ID cannot own same wait",Wrapper regresses from correct occurrence model
